publishedAt,authorDisplayName,textDisplay,likeCount
2025-02-14T05:31:06Z,@BBCNewsIndonesia,"Simak artikel selengkapnya di tautan ini: <a href=""https://www.bbc.com/indonesia/articles/cvg8y3r18xwo"">https://www.bbc.com/indonesia/articles/cvg8y3r18xwo</a>",105
2025-02-14T07:21:49Z,@sayfolman7752,"Inilah 12 sifat-dasar manusia Indonesia menurut Mochtar Lubis:<br>1. Hipokritis (munafik). Umumnya, manusia Indonesia orang yang berpura-pura. Lain di bibir, lain di hati.<br>2. Segan dan enggan bertanggung jawab atas perbuatannya, putusannya, kelakuannya, pikirannya, dan sebagainya. Jika kita percaya bahwa apa pun tidak lahir dari ruang hampa, barangkali pepatah “Lempar batu sembunyi tangan” ini lahir dari realitas sosial masyarakat Indonesia. Menggambarkan bahwa seseorang berani berbuat, tapi takut bertanggung jawab.<br>3. Bersikap dan berperilaku feodal. Ini warisan feodal dan kolonial. Mental yang diturunkan dari generasi ke generasi. Utamanya dipraktikkan birokrasi, tidak peduli birokrasi pemerintahan maupun swasta.<br>4. Percaya takhyul. Meski tingkat pendidikan rata-rata orang Indonesia mengalami kemajuan dari waktu ke waktu, tetap saja jika mengalami masalah dan dihimpit kesulitan hidup, orang Indonesia cenderung lari ke dukun. Hal yang berbau mistik dan takhyul, masih melekat kuat, belum benar-benar lekang dari alam bawah sadar umumnya orang Indonesia. Padahal, percaya takhyul dan dunia mistik adalah ciri manusia primitif.<br>5. Artistik, berbakat seni. Bisa jadi, yang paling menohok ke ciri manusia Indonesia ini ialah etnis Bali, Jawa, Dayak, dan Irian. Ukiran dan jiwa seni terpancar dalam arsitektur dan narasi kehidupan sehari-hari. Meski demikian, etnis lain pun memiliki ciri ini.<br>6. Lemah watak dan karakternya. Watak dan karakter suatu bangsa, tentu tidak dibangun dalam waktu sehari. Melainkan dibangun dalam rentang waktu lama, setelah mengalami proses internalisasi.<br>7. Tidak hemat. Orang Indonesia boros, rejeki hari ini, dihabiskan hari ini. Umumnya tidak gemar menabung dan memikirkan masa depan.<br>8. Cenderung tidak bekerja keras, jika tidak terpaksa. Hidup santai. Berprinsip: ada hari ada rejeki, ada hari ada nasi.<br>9. Tukang menggerutu, tidak berani menyatakan pikiran dan pendapat di depan orangnya. Menusuk di belakang. Ya di depan, tapi tidak di belakang.<br>10. Lekas iri dan dengki. Jika ada orang lain sukses, iri dan dengki. Gampang sirik.<br>11. Pura-pura pandai, tidak mau mengakui kekurangan/ keterbatasannya.<br>12. Mudah meniru. Ini menunjukkan orang Indonesia kurang kreatif dan inovatif. Mudah meniru, namun tidak mengakui bahwa itu temuan orang.",1
2025-02-14T10:31:38Z,@AmranSaputra-q3r,"Mereka itu tidk penting bagi negara, sialakan kalian pergi selamannya!!",1
2025-02-14T11:18:47Z,@MamakSaja-zv9wc,Indonesia tdk dlm perang.<br>Kebutuhan hidup ada.<br>Saudara n keluarga ada.<br>Ibadah bisa bebas.<br>Itu kami sdh bersyukur.<br>Yg ingin kabur silahkaaann..<br>Malah lebih lega beban negara tercinta ini.,25
2025-02-14T12:33:37Z,@bantar6348,"Mau jadi apapun, dimanapun, rasa akan tetap sama.<br>Rasa bahagia begitu<br>Rasa susah begitu<br>Rasa sedih begitu<br>Rasa pusing begitu<br>Jangan kira mereka yg berpangkat tinggi, harta banyak, tidak memiliki kekhawatiran dlm hidupnya. Rasa khawatir juga yaa gitu rasanya. Rasa akan tetap sama, itu bentuk keadilan tuhan.",13
2025-02-14T12:59:36Z,@williamronaldo9205,​@@MamakSaja-zv9wc98 waktu itu siaga perang,0
2025-05-29T06:29:09Z,@Hdjj-i2w,Cabut ke warga negaraan nya.,0
2025-05-24T16:47:39Z,@andreanto1996,Negara gagal,0
2025-05-18T18:31:33Z,@uwana1881,Ngga usah balik. Berjuang aja buat diri kalian sendiri. Masih banyak generasi muda yang &#39;nekad&#39; memperbaiki bangsa koq.,0
2025-05-13T03:39:16Z,@abutoto2570,"Siapa juga butuh elu, nanti nyesel sendiri",0
