created_at,username/id_user,full_text,like_count,quote_count,reply_count,retweet_count,tweet_url,Media,label_sentimen
Fri Jan 31 23:46:36 +0000 2025,884428000000000000,gua udh siap untuk #KaburAjaDulu dr Indo tapi kl bs ketemu loker remote gaji euro atau dollar gua tahanin bntr ya itung2 nyiapin mental,0,0,0,0,https://x.com/undefined/status/1885474798266179992,X,1
Fri Jan 31 23:42:59 +0000 2025,1224490000000000000,@primawansatrio Ini banget!!! Rata2 kita yg pengen #KaburAjaDulu kan memang gak menyangkal klo di Indonesia itu makanan enak deket keluarga dll. TAPIII ada banyak hal-hal mendasar yg sulit kita akses kecuali kita banyak duit ,1,0,0,0,https://x.com/undefined/status/1885473887850471923,X,1
Fri Jan 31 23:42:04 +0000 2025,1230380000000000000,#KaburAjaDulu harusnya sih #KaburAjaSelamanya wong edan nih pemerintah,0,0,0,0,https://x.com/undefined/status/1885473654999572840,X,-1
Fri Jan 31 22:44:21 +0000 2025,171454468,Coyy selisih 11 suara di Bundestag tolak aturan baru imigrasi. Harapan #KaburAjaDulu ke jerman masih ada gengs,1,0,0,0,https://x.com/undefined/status/1885459128945869165,X,1
Fri Jan 31 22:29:09 +0000 2025,1130690000000000000,@investorgabut Atau orang yg sejarah hidupnya pernah nyoblos kojowi walau sekali dan pernah dukung kojowi di sosmed walaupun itu dah 13 tahun lalu nah orang begini 'DILARANG KERAS' buat #kaburajadulu karena karena lu juga bertanggung jawab atas kekacauan negri ini,0,0,0,0,https://x.com/undefined/status/1885455305825542622,X,-1
Fri Jan 31 22:25:14 +0000 2025,18580717,Di link ada hearing senat AS pada kandidat direktur FBI @Kash_Patel . Yg menarik dia kenalkan keluarga besarnya dihadapan senat dg salam penghormatan Jai Shri Krishna Kita dukung gerakan #KaburAjaDulu ala Kash yg bawa budayanya manapun pergi https://t.co/YDEu5oY00f,0,0,0,0,https://x.com/undefined/status/1885454318008229961,X,1
Fri Jan 31 22:16:10 +0000 2025,49856627,@investorgabut Kalo belum banyak punya aset tetap di tanah air boleh sih #KaburAjaDulu Itu pertimbangan soal hukum agraria dan hukum waris. Dan most konglo old money ngga mau lepas WNI. Mending simpan di paper based asset pensiun baru beli aset tetap secukupnya.,0,0,0,0,https://x.com/undefined/status/1885452036004794869,X,0
Fri Jan 31 21:43:11 +0000 2025,22586190,Btw yg mau #KaburAjaDulu dipertimbangkan juga kalo mau berkeluarga. Day care deket2 rumah aku sebulan buat full day tuh &gt; $2500 bahkan ada yang $3900 terus saking shocknya pamfletnya aku buang ga ada di foto ini https://t.co/oJ2XmkE2Fx,116,21,8,25,https://x.com/undefined/status/1885443737117220880,X,0
Fri Jan 31 19:35:28 +0000 2025,112676042,@imarmarwatih @investorgabut Kayaknya di Indo banyak juga suburban begini deh mbak tinggal pilih aja mau pulau yang mana Kalo saya sih gak mau iming2 terlalu wah ke first timer yang mau #KaburAjaDulu. Kalo tujuan kenyamanan tapi ujung2nya gak nyaman kan kasian. Apalagi kyk WHV modalnya gede,2,1,1,0,https://x.com/undefined/status/1885411597159395784,X,-1
Fri Jan 31 18:49:36 +0000 2025,1058330000000000000,semua orang pasti punya cara copingnya sendiri. yang udah #KaburAjaDulu pasti nyaranin #KaburAjaDulu . yang udah remote luar negeri juga nyaranin remote luar negeri. jadi kita butuh wasit dan penengah di sini. dan ya AI yg satu ini cukup proper untuk jadi wasit yg fair.,5,0,1,0,https://x.com/undefined/status/1885400052983841127,X,0
Fri Jan 31 18:48:58 +0000 2025,1688990000000000000,Nah ini mengangkat sisi lain #KaburAjaDulu Biar jangan asal kabur! Hehe,0,0,0,0,https://x.com/undefined/status/1885399895240040805,X,0
Fri Jan 31 18:19:30 +0000 2025,1506580000000000000,mau ikut #KaburAjaDulu,0,0,0,0,https://x.com/undefined/status/1885392478251213142,X,1
